THE PURE BODYBUILDING PROGRAM - PUSH PULL LEGS & ARMS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Copyright 2023 by Jeff Nippard. All rights reserved. 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"IMPORTANT PROGRAM NOTES (READ BEFORE STARTING)

• Perform a full general warm-up and exercise-specific warm-up every workout as outlined below (should only take 5-10 mins max)

• There is a Weak Point & Arms day in this program where you will select a weak point from the table below and perform 1-2 exercises for your weak point on this day. Please read The Hypertrophy Handbook for more detail.

• Note that most sets in this program are taken to an RPE of 9-10. This means you will push most sets within ~1 rep of failure or to failure. Make sure you are focused mentally before starting each working set!

• All working sets are broken up into Early Sets and Last Sets. The Early Sets are all the sets that come before your Last Set. Usually the Early Sets should be a little bit easier than the later sets (slightly lower RPE) whereas the Last Set is pushed to failure on most (but not all exercises). See The Hypertrophy Handbook for a full explanation of RPE.

• Each exercise has a clickable link which demonstrates how to perform the exercise. I suggest watching each exercise demo before starting the workout. 

• Note that this Push/Pull/Legs/Arms split is an asynchronous split, which means that the program runs on a 10-day cycle instead of the usual 7-day cycle. This is explained in more detail in The Hypertrophy Handbook.

• All other aspects of the program, including how to understand the Last-Set Intensity Technique column, when to make an exercise substitution and how to progress through the rep ranges given is explained in The Hypertrophy Handbook. Give it a full read before starting your first workout! Let's crush it!!",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
WARM UP PROTOCOL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,General Warm-Up,,,,,,,,,,,
,,,,"Perform the following general warm-up before every workout (should take 5-10 mins max). 
You can save time by doing some of the dynamic stretches as you do warm-up sets for the first exercise.",,,,,,,,,,,
,,,,5-10 minutes,,"Light cardio on machine on your choice of machine (treadmill, stairmaster, elliptical, bike, etc.)",,,,,,,,,
,,,,10 reps per side,,Arm Swings,,,,,,,,,
,,,,10 reps per side,,Arm Circles,,,,,,,,,
,,,,10 reps per side,,Front-to-Back Leg Swings,,,,,,,,,
,,,,10 reps per side,,Side-to-Side Leg Swings,,,,,,,,,
,,,,15 reps per side,,Cable External Rotation (optional),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Exercise-Specific Warm-Up,,,,,,,,,,,
,,,,Perform the following exercise-specific warm-up according to the number of warm-up sets listed in the program,,,,,,,,,,,
,,,,1 Warm-Up Set Listed,,Use ~60% of your planned working weight for ~6-10 reps (or until you feel warm and loose),,,,,,,,,
,,,,2 Warm-Up Sets Listed,,"Perform a mini warm-up pyramid: 
Warm-Up Set #1 = ~50% of planned working weight for ~6-10 reps 
Warm-Up Set #2 = ~70% of planned working weight for 4-6 reps",,,,,,,,,
,,,,3 Warm-Up Sets Listed,,"Perform a full warm-up pyramid: 
Warm-Up Set #1 = ~45% of planned working weight for ~6-10 reps 
Warm-Up Set #2 = ~65% of planned working weight for 4-6 reps
Warm-Up Set #3 = ~85% of planned working weight for 3-4 reps
",,,,,,,,,
,,,,,,,,,,,,,,,
WEAK POINTS TABLE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Weak Point,Exercise #1 Options,,,,,,Exercise #2 Options,,,,
,,,,Shoulders,1. Cuffed Behind-The-Back Lateral Raise,,,,,,1. Machine Shoulder Press,,,,
,,,,,2. Machine Lateral Raise,,,,,,2. Smith Machine Shoulder Press,,,,
,,,,,3. Dumbbell Lateral Raise,,,,,,3. Standing DB Arnold Press,,,,
,,,,,Pick one of the options above. Do not do all of them in one day!,,,,,,Pick one of the options above. Do not do all of them in one day!,,,,
,,,,Lats (“Back Width”),1. Cable Lat Prayer,,,,,,1. Lat-Focused Cable Row,,,,
,,,,,2. DB Lat Pullover,,,,,,2. Elbows-In 1-Arm DB Row,,,,
,,,,,3. Machine Lat Pullover,,,,,,3. Half-Kneeling 1-Arm Lat Pulldown,,,,
,,,,,Pick one of the options above. Do not do all of them in one day!,,,,,,Pick one of the options above. Do not do all of them in one day!,,,,
,,,,Quads,1. Leg Extension,,,,,,1. Single-Leg Leg Press,,,,
,,,,,2. Reverse Nordics,,,,,,2. Sissy Squat,,,,
,,,,,Pick one of the options above. Do not do all of them in one day!,,,,,,Pick one of the options above. Do not do all of them in one day!,,,,
,,,,Glutes,1. Machine Hip Abduction,,,,,,1. Barbell Hip Thrust,,,,
,,,,,2. Cable Hip Abduction,,,,,,2. Single-Leg DB Hip Thrust,,,,
,,,,,3. Lateral Band Walk,,,,,,,,,,
,,,,,Pick one of the options above. Do not do all of them in one day!,,,,,,Pick one of the options above. Do not do all of them in one day!,,,,
,,,,Chest,1. Low Incline DB Flye,,,,,,"1. Chest Press Machine (incline if upper pecs are lagging, flat if entire chest is lagging)",,,,
,,,,,2. Low-To-High Cable Crossover,,,,,,"2. Dumbbell Chest Press (incline if upper pecs are lagging, flat if entire chest is lagging)",,,,
,,,,,,,,,,,,,,,
,,,,,Pick one of the options above. Do not do all of them in one day!,,,,,,Pick one of the options above. Do not do all of them in one day!,,,,
,,,,Neck,1. Plate-Loaded Neck Curls,,,,,,1. Head Harness Neck Extension,,,,
,,,,,,,,,,,2. Plate-Loaded Neck Extension,,,,
,,,,,,,,,,,Pick one of the options above. Do not do all of them in one day!,,,,
,,,,Hamstrings,"There is a lot of hamstrings volume in this program. If they are a weak point for you, simply focus on executing the exercises listed with your best effort and execution rather than adding more volume.",,,,,,,,,,
,,,,Calves,"Rather than adding more calf training volume, focus on the execution of the sets given in the program first. Ensure you are pausing at the bottom of each rep and reaching a high level of effort. Feel free to sprinkle in 1-2 extra sets per exercise if they are a major priority for you.",,,,,,,,,,
,,,,Mid-Back (“Back Thickness”),"There is a lot of mid-back volume in this program. If this is a weak point for you, simply focus on executing the exercises listed with your best effort and execution rather than adding more volume. Really focus on squeezing your shoulder blades together on the positive and feeling your back pull apart on the negative when doing mid-back focused rows.",,,,,,,,,,
,,,,Upper Traps,"The upper traps shouldn’t require a high level of volume to grow, especially when there is a lot of mid-back work. Before adding sets, focus on the execution of the sets given in the program first. Ensure you are squeezing your traps at the top of each rep and reaching a high level of effort. Feel free to sprinkle in 1-2 extra sets per exercise if they are a major priority for you.",,,,,,,,,,
,,,,Abs,"The abs shouldn’t require a high level of volume to grow. If you are wanting to see your abs, your diet will be mainly responsible for lowering your level of abdominal fat to allow them to show through. Before adding sets, focus on the execution of the sets given in the program first. Ensure you are allowing your lower back to round on crunches and leg raises as you squeeze your abs. Feel free to sprinkle in 1-2 extra sets per exercise if they are a major priority for you.",,,,,,,,,,
,,,,Biceps,"Because there is a dedicated arm day in this program and the biceps will get plenty of indirect work back exercises, adding even more sets would probably not be productive and would most likely fall under the “junk volume” category.",,,,,,,,,,
,,,,Triceps,"Because there is a dedicated arm day in this program and the triceps will get plenty of indirect work from pressing, adding even more sets would probably not be productive and would most likely fall under the “junk volume” category.",,,,,,,,,,
,,,,,,,,,,,,,,,
BLOCK 1: 5-WEEK BUILD PHASE,,,,,,,,,,,,,,,
Week 1,Exercise,Last-Set Intensity Technique,Warm-up Sets,Working Sets,Reps,Tracking Load and Reps,,,,Early Set RPE,Last Set RPE,Rest,Substitution Option 1,Substitution Option 2,Notes
,,,,,,Set 1,Set 2,Set 3,Set 4,,,,,,
"Pull #1 
(Lat Focused)",Cross-Body Lat Pull-Around,Long-length Partials (on all reps of the last set),1,3,10-12,,,,,~9,10,~2-3 min,Half-Kneeling 1-Arm Lat Pulldown,Neutral-Grip Pullup,"Try to keep the cable and your wrist aligned in a straight line throughout the pull. Feel a nice, deep lat stretch at the top."
,Snatch-Grip RDL,N/A,2-3,2,8,,,,,~6,~6-7,~3-4 min,DB RDL,Nordic Ham Curl,"The RPE is intentionally low here because these will cause a lot of muscle damage. Don't be tempted to go too heavy. 1 second pause at the bottom of each rep. To keep tension on the hamstrings, stop about 75% of the way to full lockout on each rep (i.e. stay in the bottom 3/4 of the range of motion)."
,Chest-Supported Machine Row,Long-length Partials (on all reps of the last set),1-2,3,8-10,,,,,~9,10,~2-3 min,Chest-Supported T-Bar Row,Helms Row,Flare elbows out at roughly 45° and squeeze your shoulder blades together hard at the top of each rep.
,Straight-Bar Lat Prayer,Long-length Partials (on all reps of the last set),1,3,12-15,,,,,~9-10,10,~1-2 min,Machine Lat Pullover,DB Lat Pullover,Lean forward to get a big stretch on the lats at the top of the ROM and then stand upright as you squeeze your lats at the bottom.
,Hammer Preacher Curl,N/A,1,3,10-12,,,,,~9-10,10,~1-2 min,Fat-Grip Preacher Curl,Hammer Curl,These will target the brachialis and forearms hard. Squeeze the dumbbell hard in the middle of the handle and curl about 3/4 of the way up (i.e. stay in the bottom 3/4 of the curl).
,Lying Paused Rope Face Pull,N/A,1,3,10-12,,,,,~9-10,10,~1-2 min,Rope Face Pull,Bent-Over Reverse DB Flye,Pause for 1-2 seconds in the squeeze of each rep. Contract the rear delts hard!
Push #1,Cuffed Behind-The-Back Lateral Raise,Myo-reps,1-2,3,10-12,,,,,~9-10,10,~1-2 min,Cross-Body Cable Y-Raise,DB Lateral Raise,"Raise the cables up and out in a ""Y"" motion. Really try to connect with the middle delt fibers as you sweep the weight up and out."
,Low Incline Smith Machine Press,Pec Static Stretch (30 sec hold),2-3,4,8-10,,,,,~8-9,~9-10,~2-3 min,Low Incline Machine Press,Low Incline DB Press,Set the bench at a ~15° incline. 1 second pause on the chest on each rep while maintaining tension on the pecs.
,Pec Deck (w/ Integrated Partials),Integrated Partials (on all sets),1,3,12-15,,,,,~8-9,10,~1-2 min,Bent-Over Cable Pec Flye (w/ Integrated Partials),DB Flye (w/ Integrated Partials),"Set up the pec deck to allow for maximum stretch. On all sets, alternate full-ROM reps and half-ROM reps (i.e. do 1 rep with full-ROM, then 1 rep half-ROM (in the stretched/bottom half), then 1 rep full-ROM, then 1 rep half-ROM). Repeat until you've reached the target reps and an RPE of 9-10."
,Overhead Cable Triceps Extension (Bar),Dropset,1,3,8,,,,,~9-10,10,~1-2 min,Overhead Cable Triceps Extension (Rope),DB Skull Crusher,Feel a nasty stretch on the triceps throughout the entire negative. Pause for 1 second in the stretch part of each rep.
,Triceps Pressdown (Bar),Dropset,1,2,8-10,,,,,~9-10,10,~1-2 min,Triceps Pressdown (Rope),Close-Grip Assisted Dip,"These are meant to be fairly heavy, which is why we're using a bar instead of a rope. Aim to add some weight week to week at the set rep target. Always keep the form tight as you overload the triceps."
,Cable Crunch,Myo-reps,1,3,10-12,,,,,~9-10,10,~1-2 min,Machine Crunch,Plate-Weighted Crunch,Round your lower back as you crunch. Maintain a mind-muscle connection with your 6-pack.
Optional Rest Day,,,,,,,,,,,,,,,
Legs #1,Seated Leg Curl,N/A,1-2,3,8-10,,,,,~9,10,~2-3 min,Lying Leg Curl,Nordic Ham Curl,Lean forward over the machine to get a maximum stretch in your hamstrings.
,Machine Hip Adduction,N/A,1,3,10-12,,,,,~9,10,~1-2 min,Cable Hip Adduction,Copenhagen Hip Adduction,Mind-muscle connection with your inner thighs. These are great for adding thigh mass from the front! Push them hard!
,Hack Squat,N/A,2-4,3,"4, 6, 8",,,,,~9,~9,~3-5 min,Machine Squat,Front Squat,"We're using a reverse pyramid on this exercise. Warm-up as usual to your first working set for 4 reps. This first set will be your heaviest set. Then for set 2, drop the weight back ~10-15% and do 6 reps. Then for set 3, drop the weight back another 10-15% and do 8 reps."
,Leg Extension,Long-length Partials (on all reps of the last set),1-2,3,10-12,,,,,~9,10,~1-2 min,DB Step-Up,Reverse Nordic,Set the seat back as far as it will go while still feeling comfortable. Grab the handles as hard as you can to pull your butt down into the seat. Use a 2-3 second negative. Feel your quads pulling apart on the negative.
,Leg Press Calf Press,Calf Static Stretch (30 sec),1,3,12-15,,,,,~9-10,10,~1-2 min,Donkey Calf Raise,Seated Calf Raise,"1-2 second pause at the bottom of each rep. Instead of just going up onto your toes, think about rolling your ankle back and forth on the balls of your feet."
Arms & Weak Points #1,Weak Point Exercise 1,N/A,1-3,3,8-12,,,,,~9,~9-10,~1-3 min,See The Weak Point Table for sub options,See The Weak Point Table for sub options,Decide on your weak point using The Weak Point Table in your Hypertrophy Handbook. Perform ONE of the exercises listed under Exercise 1 for the sets and reps provided here.
,Weak Point Exercise 2 (optional),N/A,1-3,2,8-12,,,,,~9,~9-10,~1-3 min,See The Weak Point Table for sub options,See The Weak Point Table for sub options,"If your weak point is feeling recovered (not sore or fatigued) then feel free to hit Exercise 2. If your weak point is feeling tired or sore, do not perform the second weak point exercise this week."
,Bayesian Cable Curl,Long-length Partials (on all reps of the last set),1,3,10-12,,,,,~9-10,10,~1-2 min,DB Incline Curl,DB Scott Curl,"If you have a left-right bicep size imbalance, do these 1 arm at a time, starting with the weaker arm. Take the weaker arm to an RPE of 9-10. Then match the reps with the other arm (stop once you've matched the reps, even if the RPE is lower). If you don't have a size imbalance, do these both arms at the same time."
,Seated DB French Press,N/A,1,3,10,,,,,~9-10,10,~1-2 min,EZ-bar Skull Crusher,DB Skull Crusher,Place both palms under the head of a dumbbell and perform overhead extensions. Feel a deep stretch on your triceps at the bottom. Avoid pausing at the top of each rep.
,Bottom-2/3 Constant Tension Preacher Curl,N/A,1,2,12-15,,,,,~9-10,10,~1-2 min,Bottom-2/3 EZ-Bar Curl,Spider Curl,Stay in the bottom 2/3 of the curl. Don't squeeze all the way up to the top. Keep your triceps firmly pinned against the pad as you curl. No pausing at the top or bottom: constant tension on the biceps!
,Cable Triceps Kickback,N/A,0,2,12-15,,,,,~9-10,10,~1-2 min,Bench Dip,DB Triceps Kickback,"There are two ways you can do this: upright or bent over. Choose the one that feels more comfortable for you. The main thing is that when you're in the full squeeze, your shoulder should be positioned back behind your torso."
,Roman Chair Leg Raise,N/A,0,3,10-20,,,,,~9-10,10,~1-2 min,Hanging Leg Raise,Reverse Crunch,Allow your lower back to round as you curl your legs up. 10-20 reps is a broad range on purpose: just go until you hit RPE 9-10 (0-1 reps shy of failure) with controlled form.
Mandatory Rest Day,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Week 1,Exercise,Last-Set Intensity Technique,Warm-up Sets,Working Sets,Reps,Tracking Load and Reps,,,,Early Set RPE,Last Set RPE,Rest,Substitution Option 1,Substitution Option 2,Notes
,,,,,,Set 1,Set 2,Set 3,Set 4,,,,,,
"Pull #2
(Mid-Back Focused)",Super-ROM Overhand Cable Row,N/A,1-2,3,10-12,,,,,~9,10,~1-2 min,Overhand Machine Row,Arm-Out Single-Arm DB Row,"Set up a wide grip pulldown bar on a seated cable row. Using a double overhand grip, perform rows while leaning forward on the negative and then extend your torso to be upright as you finish the row."
,Arms-Extended 45° Hyperextension,N/A,1,2,10-20,,,,,~9,~9-10,~2-3 min,Prisoner 45° Hyperextension,Good Morning (Light Weight),Keep your arms extended out at 45° as you do back extensions. You should feel a crazy burn in your mid-back and lower back.
,Lean-Back Lat Pulldown,Dropset,1-2,3,10-12,,,,,~9,10,~2-3 min,Lean-Back Machine Pulldown,Medium-Grip Pull Up,"Initiate the pulldown with a straight up posture. As you pull the bar down, lean back by about 15-30° to get the mid-back more involved. Softly touch the bar to your chest on every rep and, even though you're leaning back, still control the weight!"
,Inverse DB Zottman Curl,N/A,1,3,10-12,,,,,~9-10,10,~1-2 min,Slow-Eccentric DB Curl,Hammer Curl,"Do a hammer curl on the positive, then turn your palms facing up at the top and use a palms-up grip on the negative."
,Cable Reverse Flye (Mechanical Dropset),Mechanical Dropset (on all sets),0,3,"5,4,3+",,,,,~9-10,10,~1-2 min,Reverse Pec Deck,Bent-Over Reverse DB Flye,"You'll probably want to watch the video for this one. Take ~3 big steps back from the cable machine and do your first 5 reps. After those first 5 reps, immediately (without resting) take 1 step forward and do another 4 reps. Then (without resting) take another step forward and do at least another 3 reps (or until you hit RPE 9-10)."
,Cable Paused Shrug-In,N/A,1,3,10-12,,,,,~9-10,10,~1-2 min,Machine Shrug,DB Shrug,"Shrug up and in. Think about shrugging ""up to your ears"". 1-2 second pause in the squeeze (at the top) of each rep, then another 1-2 second pause in the stretch (at the bottom) of each rep."
Push #2,Machine Shoulder Press,Dropset,2-3,3,10-12,,,,,~9,10,~1-2 min,Cable Shoulder Press,Seated DB Shoulder Press,"Ensure that your elbows break at least 90°. Mind-muscle connection with your delts. Smooth, controlled reps."
,Cross-Body Cable Y-Raise,N/A,1,3,10-12,,,,,~9,10,~2-3 min,Machine Lateral Raise,DB Lateral Raise,"Think about ""drawing a sword"" as you do the positive. Sweep your arm up, out and across your body. It may take a few weeks to get used to these if you haven't done them before, but once they click, they really click."
,Paused Assisted Dip,N/A,2,3,8-10,,,,,~8-9,10,~2-3 min,Decline Machine Chest Press,Decline Barbell Press,"Slow 2-3 second negative. 1-2 second pause at the bottom. Explode with control on the way up. Go as deep as your shoulders comfortably allow, trying to at least break a 90° elbow angle."
,Low-Incline Dumbbell Flye,Long-length Partials (on all reps of the last set),1,2,15-20,,,,,~9,10,~2-3 min,Low-To-High Cable Crossover,Pec Deck,Focus on feeling a deep stretch in your pecs at the bottom of each rep. Keep the dumbbells in the bottom ~3/4 of the range of motion as there will be no tension on the pecs at the top. We are including these because the dumbbells' resistance profile really accentuates the stretch.
,Katana Triceps Extension,N/A,1,3,10-12,,,,,~9-10,10,~2-3 min,Overhead Cable Triceps Extension (Rope),DB French Press,Flare your elbows out at about 45° and keep your elbows locked in place as you complete the extensions.
