Week 1,Exercise,Link,Warm-up Sets,Working Sets,Reps,Load,RPE,Rest,Sub 1,Sub 1 Link,Sub 2,Sub Link 2,Notes,%1RM
"Full Body 1: Squat, OHP",Back squat,www.youtube.com/watch?v=bEv6CCg2BC8&t,4,1,5,,7.5,3-4 min,,,,,Focus on technique and explosive power!,75-80%
,Back squat,,0,2,8,,N/A,3-4 min,,,,,Keep back angle and form consistent across all reps,70%
,Overhead press,www.youtube.com/watch?v=_RlRDWO2jfg,2,3,8,,N/A,2-3 min,,,,,Reset each rep (don't touch-and-press),70%
,Glute Ham Raise,youtu.be/psdbgvbdd_M,1,3,8-10,,7,1-2 min,,,,,"Keep your hips straight, do nordic ham curls if no GHR machine",N/A
,Helms row,youtu.be/axoeDmW0oAY?t=419,1,3,12-15,,9,1-2 min,,,,,Strict form. Drive elbows out and back at 45 degree angle,N/A
,Hammer curl,youtu.be/Kd3tbUnbueU,0,3,20-25,,10,1-2 min,,,,,"Keep elbows locked in place, squeeze the dumbbell handle hard!",N/A
"Full Body 2: Deadlift, Bench Press",Deadlift,www.youtube.com/watch?v=VL5Ab0T07e4&,4,3,4,,N/A,3-5 min,,,,,Conventional or sumo: use whatever stance you are stronger with,80%
,Barbell bench press,www.youtube.com/watch?v=vcBig73ojpE,4,1,3,,8.5,4-5 min,,,,,Top set. Leave 1 (maybe 2) reps in the tank. Hard set.,82.5-87.5%
,Barbell bench press,,0,2,10,,N/A,2-3 min,,,,,Quick 1 second pause on the chest on each rep,67.5%
,Hip abduction,youtu.be/zfUWbpdjczg,0,3,15-20,,9,1-2 min,,,,,"Machine, band or weighted, 1 second isometric hold at the top of each rep",N/A
,Weighted pull-up,www.youtube.com/watch?v=Hdc7Mw6BIEE,1,3,5-8,,8,3-4 min,,,,,"1.5x shoulder width grip, pull your chest to the bar",N/A
,Standing calf raise,www.youtube.com/watch?v=-qsRtp_PbVM,1,3,8-10,,9,2-3 min,,,,,"1-2 second pause at the bottom of each rep, full ROM",N/A
SUGGESTED REST DAY,,,,,,,,,,,,,,
"Full Body 3: Squat, Dip",Back squat,,4,3,4,,N/A,3-4 min,,,,,Maintain tight pressure in your upper back against the bar ,80%
,Weighted dip,www.youtube.com/watch?v=yN6Q1UI_xkE&,2,3,8,,8,2-3 min,,,,,Do dumbbell floor press if no access to dip handles,N/A
,Hanging leg raise,youtu.be/2RrGnjxSsiA?t=247,0,3,10-12,,9,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty",N/A
